risk ID,street addr,City,state,zip c,PARCEL_MATCH,MISSING_BUILDING,PX_CONST,PX_SQ_FT,PX_NO_FLOORS,PX_RHP_OCCUPANCY,PX_CSP_DETAIL,PX_Risk_Count
09FL99172761,13550 REFLECTIONS PKWY,FT MYERS,FL,33907,Yes,No,Joisted Masonry,6000,1,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
420001157011,1331 N 1 ST,BELLAIRE,TX,77401,Yes,Yes,Masonry Non-Combustible,20500,1,"Mercantile > 15,000 square feet","Sole Occupancy Mercantile, Over 15,000 Square Feet, Food Risks, Buildings and Personal Property",Single
42TX99012137,9788 BELLAIRE BLVD,HOUSTON,TX,77036,Yes,No,Frame,12390,1,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
09FL99159928,1210 E PLANT ST,WINTER GARDEN,FL,34787,Yes,No,Masonry Non-Combustible,21000,1,Office and banks,Non-Governmental Offices and Banks,Single
42TX66004502,8403 LOUETTA RD,HARRIS,TX,77379,Yes,No,Frame,5200,1,Non-Manufacturing service,Light Hazard Service Occupancies,Single
290162005941,71 CROOKS AVE,CLIFTON,NJ,7011,Yes,Yes,Masonry Non-Combustible,300,1,"Mercantile < 15,000 square feet","Electrical Goods, Hardware and Machinery",Single
20MA99008383,392 WASHINGTON ST,NORWELL,MA,2061,No,No,Joisted Masonry,8500,1,"Mercantile < 15,000 square feet",Furniture and Home Furnishings other than Appliances,Single
42TX99818816,279 E OVILLA RD,RED OAK,TX,75154,Yes,No,Frame,4050,1,Restaurant and Bar,Restaurants with Commercial Cooking,Single
19MD99014519,1055 1 ST,MONTGOMERY,MD,20850,Yes,No,Masonry Non-Combustible,35200,2,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
42TX99507321,9009 BRUTON RD,DALLAS,TX,75217,No,No,Non-Combustible,2400,1,Non-Manufacturing service,Light Hazard Service Occupancies,Single
01AL99026021,654 DISCOVERY DR NW,HUNTSVILLE,AL ,35806,Yes,No,Non-Combustible,54100,2,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
42TX99486573,11030 KINGSPOINT RD,HOUSTON,TX,77075,Yes,No,Non-Combustible,38388,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
29NJ99025124,180 N COUNTY LINE RD,JACKSON,NJ,8527,Yes,No,Frame,22647,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
42TX99536503,6900 DALLAS PKWY,PLANO,TX,75024,Yes,Yes,Fire Resistive,208264,8,Office and banks,Non-Governmental Offices and Banks,Single
42TX99518122,15201 EAST FWY,CHANNELVIEW,TX,77530,Yes,Yes,Non-Combustible,68746,2,Office and banks,Non-Governmental Offices and Banks,Single
45VA66011598,4050 COX RD,HENRICO,VA,23060,Yes,No,Frame,92208,6,Hotel & Motel w/out Restaurant,Motels and Hotels without Restaurant - Over 30 Units,Single
290026046236,216 MIDLAND AVE,SADDLE BROOK,NJ,7663,Yes,No,Masonry Non-Combustible,42052,1,"Mercantile > 15,000 square feet","Sole Occupancy Mercantile, Over 15,000 Square Feet, Food Risks, Buildings and Personal Property",Single
42TX66003563,7017 BAKER BLVD,RICHLAND HILLS,TX,76118,Yes,No,Masonry Non-Combustible,14072,1,Vacant,Vacant Buildings,Single
29NJ99019694,291 US HIGHWAY 22,LEBANON,NJ,8833,Yes,No,Joisted Masonry,7800,1,"Mercantile < 15,000 square feet","Multiple Occupancy Mercantile, Less than 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
42TX99534678,8802 POTRANCO RD,SAN ANTONIO,TX,78251,No,No,Masonry Non-Combustible,20384,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
450196040070,1601 OVERBROOK RD,RICHMOND,VA,23220,No,Yes,Joisted Masonry,52306,2,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
42TX99573169,2208 THOMPSON RD,RICHMOND,TX,77469,Yes,No,Frame,696,1,Office and banks,Non-Governmental Offices and Banks,Single
42TX66072492,8120 MAINLAND DR,SAN ANTONIO,TX,78240,Yes,No,Frame,2541,1,Office and banks,Non-Governmental Offices and Banks,Single
42TX66090603,6707 MAYARD RD,HARRIS,TX,77041,Yes,No,#N/A,#N/A,#N/A,#N/A,#N/A,Single
10GA99053623,1385 COLLIER RD NW,ATLANTA,GA,30318,No,No,Masonry Non-Combustible,13955,1,Vacant,Vacant Buildings,Single
428888002060,1401 VIRGINIA ST,SOUTH HOUSTON,TX,77587,Yes,No,Non-Combustible,3900,1,Metal Manufacturing,"Metalworking, NOC",Single
323601114501,10 AIRLINE AVE,BELMONT,NC,28012,Yes,No,Masonry Non-Combustible,14635,1,Metal Manufacturing,"Metalworking, NOC",Multiple
323601114502,10 AIRLINE AVE,BELMONT,NC,28012,Yes,No,Joisted Masonry,27872,1,Storage,Miscellaneous Products Storage - (other than Retail or Wholesale or Cold Storage),Multiple
42TX99533449,215 RICHILL DR,TEXARKANA,TX,75503,Yes,No,Frame,42246,3,Hotel & Motel w/out Restaurant,Motels and Hotels without Restaurant - Over 30 Units,Single
42TX66091795,201 N HEWITT DR,MCLENNAN,TX,76643,No,No,Masonry Non-Combustible,63152,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
42TX66004286,2815 AZLE AVE,FORT WORTH,TX,76106,Yes,No,Masonry Non-Combustible,3200,1,Office and banks,Non-Governmental Offices and Banks,Single
10GA99017909,700 W MEMORIAL DR,PAULDING,GA,30132,Yes,No,Frame,15238,2,Hospital & Nursing Home,Nursing and Convalescent Homes,Single
32NC99002145,10015 LEE ST,PINEVILLE,NC,28134,Yes,No,Masonry Non-Combustible,4900,1,Restaurant and Bar,Restaurants with Commercial Cooking,Single
39SC99023723,3365 S MORGANS POINT RD,MT PLEASANT,SC,29466,Yes,No,Masonry Non-Combustible,3024,1,"Mercantile < 15,000 square feet",Food Products including Retail Bakeries (no baking and no cooking on premises; sales only); Beverages other than Alcoholic,Multiple
39SC99023727,3365 S MORGANS POINT RD,MT PLEASANT,SC,29466,Yes,No,Masonry Non-Combustible,36443,1,"Mercantile > 15,000 square feet","Sole Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage, Other than Food Risks",Multiple
39SC99023728,3365 S MORGANS POINT RD,MT PLEASANT,SC,29466,Yes,No,Masonry Non-Combustible,2668,1,Vacant,Vacant Buildings,Multiple
42TX66100062,106 S CHURCH ST,MCKINNEY,TX,75069,Yes,Yes,Frame,3300,2,Office and banks,Non-Governmental Offices and Banks,Single
32NC99035524,11416 E INDEPENDENCE BLVD,MATTHEWS,NC,28105,Yes,No,Masonry Non-Combustible,101900,1,Church/House of Worship,Churches and Synagogues,Single
42TX99498133,17721 ROGERS RANCH PKWY,SAN ANTONIO,TX,78258,Yes,No,Masonry Non-Combustible,27828,2,Office and banks,Non-Governmental Offices and Banks,Single
90661409398,4301 W BOY SCOUT BLVD,TAMPA,FL,33607,Yes,Yes,Masonry Non-Combustible,3096,1,Office and banks,Non-Governmental Offices and Banks,Single
39SC99006391,430 SAVANNAH HWY,CHARLESTON,SC,29407,Yes,No,Frame,4902,1,Motor Vehicle/Aircraft Hanger,"Aircraft Hangars with Repairing, Motor Vehicle Repairing Including Auto Body Shops, with or without Sales",Single
45VA99014630,100 ARAGONA BLVD,VIRGINIA BEACH,VA,23462,Yes,No,#N/A,#N/A,#N/A,#N/A,#N/A,Single
310209331165,210 E 43 ST,MANHATTAN,NY,10017,Yes,No,Fire Resistive,443000,21,Office and banks,Non-Governmental Offices and Banks,Single
202032031660,1069 BROADWAY,SAUGUS,MA,1906,Yes,No,Non-Combustible,44816,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
29NJ99004311,252 WAGNER ST,MIDDLESEX,NJ,8846,No,Yes,#N/A,#N/A,#N/A,#N/A,#N/A,Single
100618319962,1000 ABERNATHY RD NE,FULTON,GA,30328,Yes,No,Fire Resistive,1096663,19,Office and banks,Non-Governmental Offices and Banks,Single
420001419116,750 ALMEDA GENOA RD,HOUSTON,TX,77047,Yes,No,Masonry Non-Combustible,224094,1,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
190020142586,5204 ROLAND AVE,BALTIMORE CITY,MD,21210,Yes,Yes,Masonry Non-Combustible,128040,4,School,"Schools, Academic",Multiple
190020142587,5204 ROLAND AVE,BALTIMORE CITY,MD,21210,Yes,Yes,Masonry Non-Combustible,12600,1,Recreational facility,Halls and Auditoriums,Multiple
202031053374,141 MIDDLESEX RD,TYNGSBOROUGH,MA,1879,Yes,No,Masonry Non-Combustible,21075,2,"Mercantile > 15,000 square feet","Multiple Occupancy Mercantile, Over 15,000 Square Feet, Building Coverage Only, Not Fire Class Rated",Single
90668267213,5570 ENTERPRISE PKWY,LEE,FL,33905,Yes,No,Non-Combustible,25517,2,Metal Manufacturing,"Precision Products, Electronic, Radio and Television Manufacturing",Single
