risk ID,street addr,City,state,zip c,PARCEL_MATCH,MISSING_BUILDING,PX_CONST,PX_SQ_FT,PX_NO_FLOORS,PX_RHP_OCCUPANCY,PX_CSP_DETAIL,PX_Risk_Count
01AL66004600  , 18155    PRINE    RD  ,BIRMINGHAM,AL  ,365224942                                                                                                                                   ,,,,,,,,
010079218796  ,1R 309 315   4 N  ST  ,MARION,AL  ,352044408                                                                                                                  ,,,,,,,,
010587003940  , 304    WASHINGTON    ST  ,HAZEN,AL  ,367562332                                                                                                                                  ,,,,,,,,
03AR66002509  , 286    RTE 11 S      ,DECATUR,AR  ,720649655                                                                                                                                      ,,,,,,,,
01AL99014608  , 3239    POINT MALLARD SE PKWY,SCOTTSDALE,AL  ,356035707                                                                                                                                   ,,,,,,,,
02AZ99004219  , 29505  N SCOTTSDALE    RD  ,BESSEMER,AZ  ,852668115                                                                                                                 ,,,,,,,,
01AL66010708  , 1920    3 N  AVE ,EIGHT MILE,AL  ,350204910                                                                                                                           ,,,,,,,,
01AL99016986  ,2R 5735    COLLEGE    PKWY,PHOENIX,AL  ,366132842                                                                                                                                    ,,,,,,,,
02AZ12201299  , 2525  W BROADWAY    RD  ,PHOENIX,AZ  ,850412005                                                                                                                      ,,,,,,,,
02AZ99125919  ,R 2011  E CACTUS    RD  ,OZARK AR,AZ  ,850225823                                                                                                                                 ,,,,,,,,
03AR66004565  , 4316    RTE 352        ,MONROEVILLE,AR  ,72949                                                                                                                         ,,,,,,,,
01AL99027640  ,R 484  S ALABAMA    AVE ,CHANDLER,AL  ,364602564                                                                                                                                     ,,,,,,,,
02AZ99125081  , 4015  W CHANDLER    BLVD,PRESCOTT VALLEY,AZ  ,852263770                                                                                                                      ,,,,,,,,
02AZ99139018  ,23R 6810  E SPOUSE    DR  ,BIRMINGHAM,AZ  ,863146638                                                                                                 ,,,,,,,,
01AL99009754  ,2R 1421    HILDEGARDE    ST  ,TEMPE,AL  ,352154101                                                                                                            ,,,,,,,,
02AZ99128225  , 1095  W RIO SALADO    PKWY,MESA,AZ  ,852812514                                                                                                                            ,,,,,,,,
02AZ99121714  ,1R 3129  E MCKELLIPS    RD  ,APACHE JUNCTION,AZ  ,852133132                                                                                                                                     ,,,,,,,,
02AZ99122377  , 253  W SUPERSTITION    BLVD,GADSDEN,AZ  ,851204125                                                                                                      ,,,,,,,,
01AL99017528  , 1700    PIEDMONT CUTOFF        ,PHOENIX,AL  ,359032715                                                                                                                     ,,,,,,,,
02AZ66028603  , 102  S 40    ST  ,LOGAN,AZ  ,850341517                                                                                                                                  ,,,,,,,,
01AL66004409  , 4001    RTE 946        ,BIRMINGHAM,AL  ,350982230                                                                                                                 ,,,,,,,,
01AL99014755  ,1R 1616    7 N  AVE ,PELHAM,AL  ,352031908                                                                                                                    ,,,,,,,,
01AL99006735  , 2000    PELHAM    PKWY,PEORIA,AL  ,351241177                                                                                                                                 ,,,,,,,,
02AZ99014603  ,1R 8112  N 75    AVE ,PHOENIX,AZ  ,853458060                                                                                                                              ,,,,,,,,
02AZ99153669  , 4204 4212 E CARSON    RD  ,PHOENIX,AZ  ,850426370                                                                                                                      ,,,,,,,,
02AZ12157154  , 1741  W ROSE GARDEN    LN  ,BREWTON,AZ  ,850272733                                                                                                                      ,,,,,,,,
01AL99026756  ,2R 1031    DOUGLAS    AVE ,FOUNTAIN HILLS,AL  ,364261559                                                                                                                      ,,,,,,,,
02AZ13016615  , 16605  E PALISADES    BLVD,PHOENIX,AZ  ,852683716                                                                                                                 ,,,,,,,,
02AZ66036145  , 8020 8032 N 32    AVE ,MONTGOMERY,AZ  ,850516254                                                                                                                            ,,,,,,,,
010622064420  , 401    RANDOLPH    ST  ,GREENWOOD,AL  ,361042656                                                                                                                ,,,,,,,,
03AR99015421  , 16    TOWN    SQ  ,CLANTON,AR  ,729363200                                                                                                                        ,,,,,,,,
01AL99025929  , 507    7 S  ST  ,MONTGOMERY,AL  ,350453709                                                                                                                                                    ,,,,,,,,
01AL66009228  , 2933    CHESTNUT    ST  ,SARDIS CITY,AL  ,361073009                                                                                                                       ,,,,,,,,
01AL99016712  , 4110    SARDIS    RD  ,TUCSON,AL  ,359564415                                                                                                                      ,,,,,,,,
02AZ66034429  , 2435  E BROADWAY    BLVD,MARION,AZ  ,857196009                                                                                                                                   ,,,,,,,,
01AL66004755  ,R     RTE 45        ,CLARKSVILLE,AL  ,36756                                                                                                                                  ,,,,,,,,
03AR66004994  , 1128  S ROGERS    ST  ,FORT SMITH,AR  ,728309157                                                                                                                               ,,,,,,,,
03AR99012312  , 2713  N K    ST  ,DECATUR,AR  ,729012333                                                                                                                                 ,,,,,,,,
01AL99028592  , 1242    BELTLINE SW RD  ,NORTHPORT,AL  ,356016269                                                                                                                          ,,,,,,,,
01AL99020011  , 9015    ENERGY    LN  ,HEFLIN,AL  ,354763454                                                                                                                           ,,,,,,,,
01AL99027333  ,ADJ 2252    ALMON    ST  ,ALMA,AL  ,362641910                                                                                                                                   ,,,,,,,,
03AR99016318  , 3814  N HIGHWAY 71        ,TUCSON,AR  ,729218098                                                                                                                            ,,,,,,,,
02AZ66035856  , 2201  E RIVER    RD  ,PEORIA,AZ  ,857186517                                                                                                                         ,,,,,,,,
02AZ66033433  ,R2 8270  W CACTUS    RD  ,ANDALUSIA,AZ  ,853815216                                                                                                                        ,,,,,,,,
01AL99020273  , 12514    BROOKLYN    RD  ,HUNTSVILLE,AL  ,364218159                                                                                                                        ,,,,,,,,
01AL99019835  , 2000    CECIL ASHBURN SE DR  ,RAINBOW CITY,AL  ,358022571                                                                                                                       ,,,,,,,,
01AL66007291  , 301  W GRAND    AVE ,BIRMINGHAM,AL  ,359063241                                                                                                                               ,,,,,,,,
01AL99027341  , 4117    2 S  AVE ,CASA GRANDE,AL  ,352221902                                                                                                                            ,,,,,,,,
02AZ99119160  , 51  N BROWN    AVE ,HARRISON,AZ  ,851224534                                                                                                                                  ,,,,,,,,
03AR99012816  , 1595    MOUNTAIN VISTA    RD  ,PRESCOTT VALLEY,AR  ,726019569                                                                                                                                  ,,,,,,,,
02AZ99002605  , 8249 8303 E RTE 69        ,EUREKA SPRINGS,AZ  ,863148478                                                                                                         ,,,,,,,,
03AR66005799  , 4112  E VAN BUREN        ,MESA,AR  ,726329396                                                                                                                  ,,,,,,,,
02AZ99016481  , 2737  N POWER    RD  ,THOMASVILLE,AZ  ,852151680                                                                                                                                  ,,,,,,,,
01AL99023681  , 103    RTE 5 S      ,DOTHAN,AL  ,367841819                                                                                                                         ,,,,,,,,
01AL99023136  , 1324    REEVES    ST  ,HUNTSVILLE,AL  ,363033490                                                                                                                                               ,,,,,,,,
01AL66012893  , 100    PROVIDENCE MAIN NW ST  ,SELMA,AL  ,358064826                                                                                                                   ,,,,,,,,
01AL99020340  , 211  N RACE    ST  ,BESSEMER,AL  ,367032153                                                                                                                                        ,,,,,,,,
01AL66000396  , 130    9    ST  ,PRESCOTT,AL  ,35020                                                                                                                                                         ,,,,,,,,
02AZ99152310  , 305  N SUMMIT    AVE ,PHOENIX,AZ  ,863012722                                                                                                                              ,,,,,,,,
02AZ66030522  , 3202  E BELL    RD  ,DOTHAN,AZ  ,850322727                                                                                                                                            ,,,,,,,,
01AL99006127  , 4482  W MAIN    ST  ,ANNISTON,AL  ,363051064                                                                                                                                              ,,,,,,,,
01AL50000747  , 529    LEIGHTON    AVE ,PHOENIX,AL  ,362075759                                                                                                                                                    ,,,,,,,,
02AZ12094880  , 112  N CENTRAL    AVE ,ANDALUSIA,AZ  ,850042309                                                                                                                                    ,,,,,,,,
01AL99020181  , 303  W BYPASS        ,CONWAY,AL  ,364202513                                                                                                                                  ,,,,,,,,
03AR99002236  , 501 505   DONAGHEY    AVE ,QUARTZSITE,AR  ,720345103                                                                                                                         ,,,,,,,,
02AZ99118966  ,R 1395  W MAIN    ST  ,BUTLER,AZ  ,85346                                                                                                                                  ,,,,,,,,
01AL99029344  , 801  W PUSHMATAHA    ST  ,BLYTHEVILLE,AL  ,369042439                                                                                                                                     ,,,,,,,,
03AR66002431  , 3913  E RTE 18        ,PINE BLUFF,AR  ,723156813                                                                                                                    ,,,,,,,,
03AR99017462  ,ABT 3904    COMMUNITY    RD  ,BATESVILLE,AR  ,716039480                                                                                                ,,,,,,,,
030210003800  , 369 373 E MAIN    ST  ,EL DORADO,AR  ,725015606                                                                                                                    ,,,,,,,,
031370111249  , 1819    JUNCTION CITY    RD  ,TUCSON,AR  ,717307803                                                                                                                      ,,,,,,,,
02AZ06080759  , 1220  E PRINCE    RD  ,TUCSON,AZ  ,857191835                                                                                                                                           ,,,,,,,,
02AZ07012025  , 3769  E HARDY    DR  ,LITTLE ROCK,AZ  ,857161460                                                                                                                     ,,,,,,,,
03AR99008224  ,1R 10401    ARCH    ST  ,BULLHEAD CITY,AR  ,722064612                                                                                                                           ,,,,,,,,
02AZ99124106  ,5R 2250    RTE 95        ,HUNTSVILLE,AZ  ,864429013                                                                                                              ,,,,,,,,
