RISK,N_LAT,N_LON,C_MTCH_TYP
01AL50000747,33.65161,-85.82491,FS
01AL66003038,32.183244,-86.57977,FS
01AL66003108,33.277518,-86.831595,FS
01AL66004099,33.73949,-86.88735,FS
01AL66004409,34.14026,-87.092544,FS
01AL66004600,31.070804,-88.287162,FS
01AL66004755,32.559546,-87.278823,FS
01AL66006389,34.870572,-85.812245,FS
01AL66007291,33.960322,-86.043983,FS
01AL66007626,33.648944,-86.650948,FS
01AL66009194,33.687192,-86.684561,FS
01AL66009228,32.367561,-86.269015,FS
01AL66010218,32.460836,-86.416321,FS
01AL66010449,33.394812,-86.798182,FS
01AL66010708,33.402525,-86.952334,FS
01AL66011139,32.432443,-87.059741,FS
01AL66011274,33.405476,-86.940945,FS
01AL66011399,33.66432,-85.829591,FS
01AL66011474,33.834648,-87.274923,FS
01AL66012075,33.180088,-87.56685,FS
01AL66012522,30.604858,-88.162096,FS
01AL66012893,34.749908,-86.69408,FS
01AL99000448,30.396707,-88.260024,FS
01AL99001155,33.392443,-86.951341,FS
01AL99006127,31.235266,-85.453069,FS
01AL99006735,33.344564,-86.796745,FS
01AL99007252,32.380783,-86.196962,FS
01AL99009605,33.165302,-86.268146,FS
01AL99010561,33.371305,-86.943901,FS
01AL99010879,30.693125,-88.047393,FS
01AL99011883,32.583433,-85.441023,FS
01AL99014022,34.751927,-86.699404,FS
01AL99014608,34.535805,-86.911337,FS
01AL99016712,34.174995,-86.076014,FS
01AL99016986,30.797151,-88.128954,FS
01AL99017528,34.000958,-85.94841,FS
01AL99019806,32.513769,-85.024671,FS
01AL99019835,34.67137,-86.538491,FS
01AL99020083,33.526097,-86.772041,FS
01AL99020181,31.309749,-86.499054,FS
01AL99020273,31.287797,-86.522406,FS
01AL99020340,32.413812,-86.997229,FS
01AL99022916,34.637991,-87.183113,FS
01AL99023136,31.241884,-85.393909,FS
01AL99023521,34.414417,-85.747668,FS
01AL99023681,31.911877,-87.732476,FS
01AL99024632,33.93247,-85.613192,FS
01AL99024862,33.597609,-85.93236,FS
01AL99025234,33.417342,-86.810947,FS
01AL99025929,32.833539,-86.628734,FS
01AL99025992,32.470737,-85.000402,FS
01AL99026339,34.779951,-87.605346,FS
01AL99026756,31.122899,-87.070063,FS
01AL99027333,33.61954,-85.596749,FS
01AL99027341,33.52482,-86.773505,FS
01AL99027879,34.737782,-86.587008,FS
01AL99028592,34.564299,-87.008455,FS
01AL99028788,34.018953,-86.031923,FS
01AL99029344,32.0909,-88.230109,FS
01AL99029755,33.606794,-86.634597,FS
01AL99030612,31.889655,-85.145233,FS
01AL99030675,34.925675,-86.987325,FS
02AZ06080759,32.271736,-110.95317,FS
02AZ07012025,32.268183,-110.91219,FS
02AZ09008710,33.364569,-111.87964,FS
02AZ10086696,33.612182,-111.91631,FS
02AZ11030476,33.420852,-111.96328,FS
02AZ12029730,33.495837,-112.10029,FS
02AZ12035006,33.653796,-112.13601,FS
02AZ12094880,33.449698,-112.0742,FS
02AZ12124180,33.494704,-112.02721,FS
02AZ12148363,33.68111,-112.08768,FS
02AZ12157154,33.674982,-112.09741,FS
02AZ12164740,33.480096,-112.16047,FS
02AZ12201299,33.406397,-112.11322,FS
02AZ12202451,33.447952,-111.9664,FS
02AZ12205761,33.37978,-112.07227,FS
02AZ13240014,33.389823,-112.22481,FS
02AZ13304560,33.251446,-111.8707,FS
02AZ66020697,33.479903,-112.21434,FS
